Hence,hence,
late,late,,topic_27,0,freq3,0,ig5,0,sal5,0
:,:,n
I,i,s
have,have,s
not,not,s
from,from,s
your,your,s
eyes,eyes,s,topic_9,0,freq2,0,ig5,0,sal4,0
that,that,s
gentleness,gentleness,n,topic_41,0,freq3,0,ig1,0,sal2,0
And,and,s
show,show,s,topic_41,0,freq2,0,ig5,0,sal4,0
of,of,s
love,love,s,topic_5,0,freq1,0,ig5,0,sal1,0
as,as,s
I,i,s
was,was,s
wont,wont,s,topic_2,0,freq5,0,ig5,0,sal5,0
to,to,s
have,have,
:,:,n
You,you,s
bear,bear,s,topic_2,0,freq2,0,ig5,0,sal4,0
too,too,s
stubborn,stubborn,s,topic_25,0,freq3,0,ig5,0,sal3,0
and,and,s
too,too,s
strange,strange,s,topic_3,0,freq2,0,ig5,0,sal1,0
a,a,s
hand,hand,n,topic_41,0,freq1,0,ig5,0,sal4,0
Over,over,s
your,your,s
friend,friend,s
that,that,s
loves,loves,s,topic_35,0,freq2,0,ig5,0,sal2,0
you,you,
.,.,n
Cassius,cassius,
",",",",n
Be,be,s
not,not,s
deceived,deceived,,topic_45,0,freq4,0,ig5,0,sal4,0
:,:,s
if,if,s
I,i,s
have,have,s
veil'd,veil'd,s,topic_17,0,freq5,0,ig5,0,sal5,0
my,my,s
look,look,
",",",",n
I,i,s
turn,turn,s,topic_34,0,freq2,0,ig5,0,sal1,0
the,the,s
trouble,trouble,s,topic_17,0,freq4,0,ig5,0,sal5,0
of,of,s
my,my,s
countenance,countenance,n,topic_41,0,freq3,0,ig5,0,sal3,0
Merely,merely,s
upon,upon,s
myself,myself,
.,.,s
Vexed,vexed,s,topic_17,0,freq5,0,ig5,0,sal5,0
I,i,s
am,am,n
Of,of,s
late,late,s,topic_26,0,freq1,0,ig5,0,sal1,0
with,with,s
passions,passions,s,topic_6,0,freq4,0,ig5,0,sal3,0
of,of,s
some,some,s
difference,difference,,topic_13,0,freq3,0,ig4,0,sal2,0
",",",",n
Conceptions,conceptions,s,topic_41,0,freq5,0,ig3,0,sal5,0
only,only,s
proper,proper,s,topic_22,0,freq2,0,ig5,0,sal2,0
to,to,s
myself,myself,
",",",",n
Which,which,s
give,give,s,topic_17,0,freq2,0,ig5,0,sal5,0
some,some,s
soil,soil,s,topic_14,0,freq3,0,ig5,0,sal4,0
perhaps,perhaps,s
to,to,s
my,my,s
behaviors,behaviors,,topic_25,0,freq5,0,ig4,0,sal4,0
;,;,n
But,but,s
let,let,s
not,not,s
therefore,therefore,s
my,my,s
good,good,s,topic_49,0,freq1,0,ig5,0,sal4,0
friends,friends,s,topic_17,0,freq1,0,ig5,0,sal2,0
be,be,s
grieved,grieved,,topic_27,0,freq4,0,ig4,0,sal3,0
--,--,n
Among,among,s
which,which,s
number,number,,topic_17,0,freq4,0,ig5,0,sal5,0
",",",",s
Cassius,cassius,
",",",",s
be,be,s
you,you,s
one,one,
--,--,n
Nor,nor,s
construe,construe,s,topic_35,0,freq4,0,ig5,0,sal4,0
any,any,s
further,further,s
my,my,s
neglect,neglect,,topic_13,0,freq3,0,ig4,0,sal2,0
",",",",n
Than,than,s
that,that,s
poor,poor,s,topic_12,0,freq1,0,ig5,0,sal1,0
Brutus,brutus,
",",",",s
with,with,s
himself,himself,s
at,at,s
war,war,,topic_17,0,freq2,0,ig5,0,sal4,0
",",",",n
Forgets,forgets,s,topic_2,0,freq5,0,ig5,0,sal5,0
the,the,s
shows,shows,s,topic_36,0,freq2,0,ig5,0,sal2,0
of,of,s
love,love,s,topic_5,0,freq1,0,ig5,0,sal1,0
to,to,s
other,other,s
men,men,,topic_35,0,freq1,0,ig5,0,sal1,0
.,.,n
Then,then,
",",",",s
Brutus,brutus,
",",",",s
I,i,s
have,have,s
much,much,s
mistook,mistook,s,topic_43,0,freq4,0,ig1,0,sal2,0
your,your,s
passion,passion,,topic_18,0,freq3,0,ig5,0,sal3,0
;,;,n
By,by,s
means,means,s,topic_26,0,freq1,0,ig5,0,sal1,0
whereof,whereof,s,topic_19,0,freq3,0,ig5,0,sal5,0
this,this,s
breast,breast,s,topic_35,0,freq3,0,ig5,0,sal4,0
of,of,s
mine,mine,s,topic_45,0,freq1,0,ig5,0,sal3,0
hath,hath,s,topic_47,0,freq1,0,ig5,0,sal1,0
buried,buried,n,topic_9,0,freq3,0,ig1,0,sal2,0
Thoughts,thoughts,s,topic_35,0,freq2,0,ig5,0,sal3,0
of,of,s
great,great,s,topic_49,0,freq1,0,ig5,0,sal2,0
value,value,
",",",",s
worthy,worthy,s,topic_44,0,freq3,0,ig5,0,sal5,0
cogitations,cogitations,,topic_47,0,freq5,0,ig3,0,sal5,0
.,.,n
Tell,tell,s
me,me,
",",",",s
good,good,s,topic_2,0,freq1,0,ig5,0,sal1,0
Brutus,brutus,
",",",",s
can,can,s
you,you,s
see,see,s
your,your,s
face,face,,topic_41,0,freq1,0,ig5,0,sal1,0
?,?,n
No,no,
",",",",s
Cassius,cassius,
;,;,s
for,for,s
the,the,s
eye,eye,s,topic_43,0,freq1,0,ig5,0,sal1,0
sees,sees,s,topic_35,0,freq3,0,ig5,0,sal2,0
not,not,s
itself,itself,
",",",",n
But,but,s
by,by,s
reflection,reflection,,topic_3,0,freq4,0,ig1,0,sal4,0
",",",",s
by,by,s
some,some,s
other,other,s
things,things,,topic_3,0,freq2,0,ig5,0,sal3,0
.,.,n
',',
Tis,tis,s,topic_46,0,freq1,0,ig5,0,sal2,0
just,just,
:,:,n
And,and,s
it,it,s
is,is,s
very,very,s
much,much,s
lamented,lamented,,topic_9,0,freq5,0,ig1,0,sal4,0
",",",",s
Brutus,brutus,
",",",",n
That,that,s
you,you,s
have,have,s
no,no,s
such,such,s
mirrors,mirrors,s,topic_43,0,freq5,0,ig5,0,sal5,0
as,as,s
will,will,s
turn,turn,n,topic_41,0,freq4,0,ig5,0,sal5,0
Your,your,s
hidden,hidden,s,topic_9,0,freq5,0,ig5,0,sal5,0
worthiness,worthiness,s,topic_45,0,freq4,0,ig4,0,sal3,0
into,into,s
your,your,s
eye,eye,,topic_43,0,freq1,0,ig5,0,sal1,0
",",",",n
That,that,s
you,you,s
might,might,s
see,see,s
your,your,s
shadow,shadow,
.,.,s
I,i,s
have,have,s
heard,heard,,topic_3,0,freq1,0,ig5,0,sal2,0
",",",",n
Where,where,s
many,many,s
of,of,s
the,the,s
best,best,s
respect,respect,s,topic_35,0,freq3,0,ig5,0,sal4,0
in,in,s
Rome,rome,,topic_17,0,freq1,0,ig5,0,sal1,0
",",",",n
Except,except,s
immortal,immortal,s,topic_26,0,freq4,0,ig5,0,sal4,0
Caesar,caesar,
",",",",s
speaking,speaking,s,topic_46,0,freq4,0,ig5,0,sal4,0
of,of,s
Brutus,brutus,n
And,and,s
groaning,groaning,s,topic_6,0,freq5,0,ig5,0,sal5,0
underneath,underneath,s,topic_33,0,freq4,0,ig1,0,sal3,0
this,this,s
age's,age's,s,topic_16,0,freq5,0,ig5,0,sal5,0
yoke,yoke,,topic_36,0,freq4,0,ig5,0,sal5,0
",",",",n
Have,have,s
wish'd,wish'd,s,topic_31,0,freq4,0,ig5,0,sal5,0
that,that,s
noble,noble,s,topic_49,0,freq1,0,ig5,0,sal2,0
Brutus,brutus,s
had,had,s
his,his,s
eyes,eyes,,topic_39,0,freq1,0,ig5,0,sal1,0
.,.,n
Into,into,s
what,what,s
dangers,dangers,s,topic_3,0,freq4,0,ig4,0,sal2,0
would,would,s
you,you,s
lead,lead,s,topic_36,0,freq1,0,ig4,0,sal1,0
me,me,
",",",",s
Cassius,cassius,
",",",",n
That,that,s
you,you,s
would,would,s
have,have,s
me,me,s
seek,seek,s,topic_31,0,freq2,0,ig5,0,sal3,0
into,into,s
myself,myself,n
For,for,s
that,that,s
which,which,s
is,is,s
not,not,s
in,in,s
me,me,
?,?,n
Therefore,therefore,
",",",",s
good,good,s,topic_49,0,freq1,0,ig5,0,sal4,0
Brutus,brutus,
",",",",s
be,be,s
prepared,prepared,s,topic_17,0,freq3,0,ig5,0,sal4,0
to,to,s
hear,hear,,topic_18,0,freq2,0,ig5,0,sal5,0
:,:,n
And,and,s
since,since,s
you,you,s
know,know,s
you,you,s
cannot,cannot,s
see,see,s
yourself,yourself,n
So,so,s
well,well,s
as,as,s
by,by,s
reflection,reflection,,topic_3,0,freq4,0,ig1,0,sal4,0
",",",",s
I,i,
",",",",s
your,your,s
glass,glass,,topic_39,0,freq2,0,ig5,0,sal2,0
",",",",n
Will,will,s
modestly,modestly,s,topic_14,0,freq4,0,ig1,0,sal3,0
discover,discover,s,topic_41,0,freq4,0,ig5,0,sal5,0
to,to,s
yourself,yourself,n
That,that,s
of,of,s
yourself,yourself,s
which,which,s
you,you,s
yet,yet,s
know,know,s
not,not,s
of,of,
.,.,n
And,and,s
be,be,s
not,not,s
jealous,jealous,s,topic_16,0,freq3,0,ig5,0,sal3,0
on,on,s
me,me,
",",",",s
gentle,gentle,s,topic_43,0,freq2,0,ig5,0,sal3,0
Brutus,brutus,
:,:,n
Were,were,s
I,i,s
a,a,s
common,common,s,topic_17,0,freq2,0,ig5,0,sal3,0
laugher,laugher,,topic_17,0,freq5,0,ig3,0,sal5,0
",",",",s
or,or,s
did,did,s
use,use,n
To,to,s
stale,stale,s,topic_14,0,freq3,0,ig5,0,sal3,0
with,with,s
ordinary,ordinary,s,topic_31,0,freq4,0,ig5,0,sal4,0
oaths,oaths,s,topic_43,0,freq3,0,ig5,0,sal3,0
my,my,s
love,love,n,topic_5,0,freq1,0,ig5,0,sal1,0
To,to,s
every,every,s
new,new,s
protester,protester,,topic_17,0,freq5,0,ig3,0,sal5,0
;,;,s
if,if,s
you,you,s
know,know,n
That,that,s
I,i,s
do,do,s
fawn,fawn,s,topic_38,0,freq4,0,ig4,0,sal4,0
on,on,s
men,men,s,topic_35,0,freq1,0,ig5,0,sal1,0
and,and,s
hug,hug,s,topic_34,0,freq5,0,ig5,0,sal5,0
them,them,s
hard,hard,n,topic_35,0,freq3,0,ig5,0,sal4,0
And,and,s
after,after,s
scandal,scandal,s,topic_34,0,freq4,0,ig1,0,sal2,0
them,them,
",",",",s
or,or,s
if,if,s
you,you,s
know,know,n
That,that,s
I,i,s
profess,profess,s,topic_25,0,freq3,0,ig1,0,sal1,0
myself,myself,s
in,in,s
banqueting,banqueting,n,topic_17,0,freq5,0,ig2,0,sal5,0
To,to,s
all,all,s
the,the,s
rout,rout,,topic_36,0,freq4,0,ig1,0,sal3,0
",",",",s
then,then,s
hold,hold,s,topic_36,0,freq2,0,ig5,0,sal4,0
me,me,s
dangerous,dangerous,,topic_16,0,freq5,0,ig5,0,sal5,0
.,.,n
What,what,s
means,means,s,topic_45,0,freq4,0,ig5,0,sal5,0
this,this,s
shouting,shouting,,topic_17,0,freq5,0,ig1,0,sal4,0
?,?,s
I,i,s
do,do,s
fear,fear,,topic_35,0,freq1,0,ig5,0,sal1,0
",",",",s
the,the,s
people,people,n,topic_17,0,freq1,0,ig1,0,sal1,0
Choose,choose,s,topic_4,0,freq3,0,ig5,0,sal4,0
Caesar,caesar,s
for,for,s
their,their,s
king,king,
.,.,n
Ay,ay,,topic_1,0,freq1,0,ig5,0,sal1,0
",",",",s
do,do,s
you,you,s
fear,fear,s,topic_35,0,freq1,0,ig5,0,sal1,0
it,it,
?,?,n
Then,then,s
must,must,s
I,i,s
think,think,s
you,you,s
would,would,s
not,not,s
have,have,s
it,it,s
so,so,
.,.,n
I,i,s
would,would,s
not,not,
",",",",s
Cassius,cassius,
;,;,s
yet,yet,s
I,i,s
love,love,s,topic_5,0,freq1,0,ig5,0,sal1,0
him,him,s
well,well,
.,.,n
But,but,s
wherefore,wherefore,s,topic_28,0,freq4,0,ig5,0,sal5,0
do,do,s
you,you,s
hold,hold,s,topic_16,0,freq2,0,ig5,0,sal4,0
me,me,s
here,here,s
so,so,s
long,long,,topic_24,0,freq2,0,ig5,0,sal3,0
?,?,n
What,what,s
is,is,s
it,it,s
that,that,s
you,you,s
would,would,s
impart,impart,s,topic_24,0,freq4,0,ig5,0,sal4,0
to,to,s
me,me,
?,?,n
If,if,s
it,it,s
be,be,s
aught,aught,s,topic_35,0,freq2,0,ig5,0,sal2,0
toward,toward,s
the,the,s
general,general,s
good,good,,topic_37,0,freq1,0,ig5,0,sal3,0
",",",",n
Set,set,s,topic_7,0,freq2,0,ig5,0,sal4,0
honour,honour,s,topic_45,0,freq1,0,ig5,0,sal1,0
in,in,s
one,one,s
eye,eye,s,topic_43,0,freq1,0,ig5,0,sal1,0
and,and,s
death,death,s,topic_21,0,freq1,0,ig5,0,sal1,0
i,i,
',',s
the,the,s
other,other,
",",",",n
And,and,s
I,i,s
will,will,s
look,look,s
on,on,s
both,both,s
indifferently,indifferently,,topic_17,0,freq5,0,ig1,0,sal4,0
",",",",n
For,for,s
let,let,s
the,the,s
gods,gods,s,topic_17,0,freq1,0,ig5,0,sal2,0
so,so,s
speed,speed,s
me,me,s
as,as,s
I,i,s
love,love,n,topic_5,0,freq1,0,ig5,0,sal1,0
The,the,s
name,name,s
of,of,s
honour,honour,s,topic_17,0,freq2,0,ig5,0,sal5,0
more,more,s
than,than,s
I,i,s
fear,fear,s,topic_35,0,freq1,0,ig5,0,sal1,0
death,death,,topic_21,0,freq1,0,ig5,0,sal1,0
.,.,n
I,i,s
know,know,s
that,that,s
virtue,virtue,s,topic_16,0,freq3,0,ig5,0,sal4,0
to,to,s
be,be,s
in,in,s
you,you,
",",",",s
Brutus,brutus,
",",",",n
As,as,s
well,well,s
as,as,s
I,i,s
do,do,s
know,know,s
your,your,s
outward,outward,s,topic_41,0,freq4,0,ig5,0,sal5,0
favour,favour,,topic_49,0,freq4,0,ig5,0,sal5,0
.,.,n
Well,well,
",",",",s
honour,honour,s,topic_49,0,freq1,0,ig5,0,sal1,0
is,is,s
the,the,s
subject,subject,s,topic_49,0,freq3,0,ig5,0,sal4,0
of,of,s
my,my,s
story,story,,topic_10,0,freq4,0,ig5,0,sal5,0
.,.,n
I,i,s
cannot,cannot,s
tell,tell,s
what,what,s
you,you,s
and,and,s
other,other,s
men,men,n,topic_4,0,freq1,0,ig5,0,sal4,0
Think,think,s
of,of,s
this,this,s
life,life,,topic_21,0,freq1,0,ig5,0,sal2,0
;,;,s
but,but,
",",",",s
for,for,s
my,my,s
single,single,s,topic_31,0,freq3,0,ig5,0,sal3,0
self,self,
",",",",n
I,i,s
had,had,s
as,as,s
lief,lief,s,topic_2,0,freq5,0,ig5,0,sal5,0
not,not,s
be,be,s
as,as,s
live,live,s,topic_31,0,freq1,0,ig5,0,sal4,0
to,to,s
be,be,n
In,in,s
awe,awe,s,topic_17,0,freq4,0,ig5,0,sal5,0
of,of,s
such,such,s
a,a,s
thing,thing,s,topic_12,0,freq1,0,ig5,0,sal3,0
as,as,s
I,i,s
myself,myself,
.,.,n
I,i,s
was,was,s
born,born,s,topic_35,0,freq4,0,ig5,0,sal5,0
free,free,s,topic_25,0,freq2,0,ig5,0,sal3,0
as,as,s
Caesar,caesar,
;,;,s
so,so,s
were,were,s
you,you,
:,:,n
We,we,s
both,both,s
have,have,s
fed,fed,s,topic_49,0,freq4,0,ig5,0,sal4,0
as,as,s
well,well,
",",",",s
and,and,s
we,we,s
can,can,s
both,both,n
Endure,endure,s,topic_36,0,freq3,0,ig5,0,sal3,0
the,the,s
winter's,winter's,s,topic_1,0,freq4,0,ig5,0,sal5,0
cold,cold,s,topic_4,0,freq2,0,ig5,0,sal3,0
as,as,s
well,well,s
as,as,s
he,he,
:,:,n
For,for,s
once,once,
",",",",s
upon,upon,s
a,a,s
raw,raw,s,topic_15,0,freq3,0,ig1,0,sal2,0
and,and,s
gusty,gusty,s,topic_45,0,freq5,0,ig2,0,sal5,0
day,day,,topic_24,0,freq3,0,ig5,0,sal5,0
",",",",n
The,the,s
troubled,troubled,s,topic_1,0,freq4,0,ig5,0,sal5,0
Tiber,tiber,s,topic_17,0,freq4,0,ig5,0,sal4,0
chafing,chafing,s,topic_1,0,freq5,0,ig3,0,sal5,0
with,with,s
her,her,s
shores,shores,,topic_17,0,freq5,0,ig5,0,sal5,0
",",",",n
Caesar,caesar,s
said,said,s
to,to,s
me,me,s
',',
Darest,darest,s,topic_34,0,freq4,0,ig5,0,sal3,0
thou,thou,
",",",",s
Cassius,cassius,
",",",",s
now,now,n
Leap,leap,s,topic_36,0,freq4,0,ig4,0,sal2,0
in,in,s
with,with,s
me,me,s
into,into,s
this,this,s
angry,angry,s,topic_35,0,freq3,0,ig5,0,sal3,0
flood,flood,,topic_17,0,freq4,0,ig5,0,sal5,0
",",",",n
And,and,s
swim,swim,s,topic_12,0,freq4,0,ig5,0,sal3,0
to,to,s
yonder,yonder,s,topic_39,0,freq3,0,ig5,0,sal3,0
point,point,,topic_16,0,freq3,0,ig5,0,sal3,0
?,?,
',',s
Upon,upon,s
the,the,s
word,word,,topic_6,0,freq2,0,ig5,0,sal5,0
",",",",n
Accoutred,accoutred,s,topic_16,0,freq5,0,ig5,0,sal5,0
as,as,s
I,i,s
was,was,
",",",",s
I,i,s
plunged,plunged,s,topic_3,0,freq5,0,ig1,0,sal4,0
in,in,n
And,and,s
bade,bade,s,topic_3,0,freq3,0,ig5,0,sal4,0
him,him,s
follow,follow,,topic_36,0,freq2,0,ig5,0,sal3,0
;,;,s
so,so,s
indeed,indeed,s
he,he,s
did,did,
.,.,n
The,the,s
torrent,torrent,s,topic_35,0,freq5,0,ig1,0,sal4,0
roar'd,roar'd,,topic_35,0,freq5,0,ig5,0,sal5,0
",",",",s
and,and,s
we,we,s
did,did,s
buffet,buffet,s,topic_0,0,freq5,0,ig1,0,sal4,0
it,it,n
With,with,s
lusty,lusty,s,topic_38,0,freq3,0,ig5,0,sal3,0
sinews,sinews,,topic_14,0,freq3,0,ig5,0,sal3,0
",",",",s
throwing,throwing,s,topic_16,0,freq4,0,ig5,0,sal3,0
it,it,s
aside,aside,n
And,and,s
stemming,stemming,s,topic_17,0,freq5,0,ig3,0,sal5,0
it,it,s
with,with,s
hearts,hearts,s,topic_17,0,freq2,0,ig5,0,sal3,0
of,of,s
controversy,controversy,,topic_41,0,freq4,0,ig1,0,sal3,0
;,;,n
But,but,s
ere,ere,s,topic_48,0,freq2,0,ig5,0,sal5,0
we,we,s
could,could,s
arrive,arrive,s,topic_12,0,freq5,0,ig1,0,sal4,0
the,the,s
point,point,s,topic_3,0,freq4,0,ig5,0,sal5,0
proposed,proposed,,topic_12,0,freq5,0,ig5,0,sal5,0
",",",",n
Caesar,caesar,s
cried,cried,s,topic_35,0,freq3,0,ig5,0,sal3,0
',',
Help,help,s
me,me,
",",",",s
Cassius,cassius,
",",",",s
or,or,s
I,i,s
sink,sink,,topic_36,0,freq4,0,ig5,0,sal5,0
!,!,
',',n
I,i,
",",",",s
as,as,s
Aeneas,aeneas,
",",",",s
our,our,s
great,great,s,topic_14,0,freq1,0,ig5,0,sal2,0
ancestor,ancestor,,topic_17,0,freq5,0,ig1,0,sal4,0
",",",",n
Did,did,s
from,from,s
the,the,s
flames,flames,s,topic_16,0,freq4,0,ig4,0,sal3,0
of,of,s
Troy,troy,s,topic_14,0,freq1,0,ig1,0,sal1,0
upon,upon,s
his,his,s
shoulder,shoulder,n,topic_43,0,freq4,0,ig4,0,sal3,0
The,the,s
old,old,s
Anchises,anchises,s,topic_23,0,freq5,0,ig5,0,sal5,0
bear,bear,,topic_33,0,freq2,0,ig5,0,sal5,0
",",",",s
so,so,s
from,from,s
the,the,s
waves,waves,s,topic_10,0,freq3,0,ig4,0,sal3,0
of,of,s
Tiber,tiber,n,topic_17,0,freq4,0,ig5,0,sal4,0
Did,did,s
I,i,s
the,the,s
tired,tired,s,topic_4,0,freq3,0,ig1,0,sal2,0
Caesar,caesar,
.,.,s
And,and,s
this,this,s
man,man,n
Is,is,s
now,now,s
become,become,s
a,a,s
god,god,,topic_24,0,freq1,0,ig5,0,sal1,0
",",",",s
and,and,s
Cassius,cassius,s
is,is,n
A,a,s
wretched,wretched,s,topic_46,0,freq3,0,ig5,0,sal3,0
creature,creature,s,topic_37,0,freq3,0,ig5,0,sal4,0
and,and,s
must,must,s
bend,bend,s,topic_36,0,freq4,0,ig5,0,sal4,0
his,his,s
body,body,,topic_34,0,freq3,0,ig5,0,sal3,0
",",",",n
If,if,s
Caesar,caesar,s
carelessly,carelessly,s,topic_17,0,freq5,0,ig5,0,sal5,0
but,but,s
nod,nod,s,topic_39,0,freq4,0,ig5,0,sal4,0
on,on,s
him,him,
.,.,n
He,he,s
had,had,s
a,a,s
fever,fever,s,topic_35,0,freq5,0,ig5,0,sal5,0
when,when,s
he,he,s
was,was,s
in,in,s
Spain,spain,
",",",",n
And,and,s
when,when,s
the,the,s
fit,fit,s,topic_49,0,freq3,0,ig5,0,sal5,0
was,was,s
on,on,s
him,him,
",",",",s
I,i,s
did,did,s
mark,mark,n,topic_17,0,freq2,0,ig5,0,sal3,0
How,how,s
he,he,s
did,did,s
shake,shake,,topic_12,0,freq2,0,ig5,0,sal1,0
:,:,s
',',
tis,tis,s,topic_25,0,freq1,0,ig5,0,sal3,0
true,true,,topic_46,0,freq1,0,ig5,0,sal2,0
",",",",s
this,this,s
god,god,s,topic_24,0,freq1,0,ig5,0,sal1,0
did,did,s
shake,shake,,topic_17,0,freq3,0,ig5,0,sal4,0
;,;,n
His,his,s
coward,coward,s,topic_37,0,freq3,0,ig5,0,sal4,0
lips,lips,s,topic_1,0,freq2,0,ig5,0,sal2,0
did,did,s
from,from,s
their,their,s
colour,colour,s,topic_39,0,freq2,0,ig1,0,sal1,0
fly,fly,,topic_35,0,freq4,0,ig5,0,sal5,0
",",",",n
And,and,s
that,that,s
same,same,s
eye,eye,s,topic_39,0,freq1,0,ig5,0,sal2,0
whose,whose,s
bend,bend,s,topic_36,0,freq4,0,ig5,0,sal4,0
doth,doth,s,topic_24,0,freq1,0,ig5,0,sal3,0
awe,awe,s,topic_17,0,freq4,0,ig5,0,sal5,0
the,the,s
world,world,n,topic_31,0,freq1,0,ig5,0,sal3,0
Did,did,s
lose,lose,s,topic_31,0,freq2,0,ig5,0,sal2,0
his,his,s
lustre,lustre,,topic_14,0,freq3,0,ig1,0,sal2,0
:,:,s
I,i,s
did,did,s
hear,hear,s,topic_41,0,freq1,0,ig5,0,sal4,0
him,him,s
groan,groan,,topic_9,0,freq3,0,ig1,0,sal2,0
:,:,n
Ay,ay,,topic_1,0,freq1,0,ig5,0,sal1,0
",",",",s
and,and,s
that,that,s
tongue,tongue,s,topic_34,0,freq1,0,ig5,0,sal1,0
of,of,s
his,his,s
that,that,s
bade,bade,s,topic_31,0,freq4,0,ig5,0,sal5,0
the,the,s
Romans,romans,n,topic_17,0,freq2,0,ig1,0,sal2,0
Mark,mark,s,topic_17,0,freq2,0,ig5,0,sal3,0
him,him,s
and,and,s
write,write,s,topic_7,0,freq2,0,ig1,0,sal2,0
his,his,s
speeches,speeches,s,topic_36,0,freq5,0,ig5,0,sal5,0
in,in,s
their,their,s
books,books,,topic_20,0,freq5,0,ig5,0,sal5,0
",",",",n
Alas,alas,,topic_16,0,freq1,0,ig5,0,sal1,0
",",",",s
it,it,s
cried,cried,s,topic_35,0,freq3,0,ig5,0,sal3,0
',',
Give,give,s,topic_45,0,freq1,0,ig5,0,sal3,0
me,me,s
some,some,s
drink,drink,,topic_37,0,freq1,0,ig4,0,sal1,0
",",",",s
Titinius,titinius,
",",",",
',',n
As,as,s
a,a,s
sick,sick,s,topic_31,0,freq1,0,ig4,0,sal1,0
girl,girl,
.,.,s
Ye,ye,s
gods,gods,,topic_17,0,freq1,0,ig5,0,sal2,0
",",",",s
it,it,s
doth,doth,s,topic_6,0,freq1,0,ig5,0,sal4,0
amaze,amaze,s,topic_42,0,freq4,0,ig1,0,sal2,0
me,me,n
A,a,s
man,man,s
of,of,s
such,such,s
a,a,s
feeble,feeble,s
temper,temper,s,topic_27,0,freq4,0,ig5,0,sal4,0
should,should,n
So,so,s
get,get,s
the,the,s
start,start,s,topic_41,0,freq4,0,ig5,0,sal5,0
of,of,s
the,the,s
majestic,majestic,s,topic_10,0,freq5,0,ig5,0,sal5,0
world,world,n,topic_31,0,freq1,0,ig5,0,sal3,0
And,and,s
bear,bear,s,topic_12,0,freq1,0,ig5,0,sal1,0
the,the,s
palm,palm,s,topic_41,0,freq5,0,ig5,0,sal5,0
alone,alone,
.,.,n
Another,another,s
general,general,s
shout,shout,,topic_17,0,freq4,0,ig1,0,sal3,0
!,!,n
I,i,s
do,do,s
believe,believe,s
that,that,s
these,these,s
applauses,applauses,s,topic_36,0,freq5,0,ig3,0,sal5,0
are,are,n
For,for,s
some,some,s
new,new,s
honours,honours,s,topic_17,0,freq4,0,ig5,0,sal5,0
that,that,s
are,are,s
heap'd,heap'd,s,topic_49,0,freq5,0,ig1,0,sal4,0
on,on,s
Caesar,caesar,
.,.,n
Why,why,
",",",",s
man,man,
",",",",s
he,he,s
doth,doth,s,topic_24,0,freq1,0,ig5,0,sal3,0
bestride,bestride,s,topic_35,0,freq5,0,ig5,0,sal5,0
the,the,s
narrow,narrow,s,topic_35,0,freq4,0,ig5,0,sal4,0
world,world,n,topic_31,0,freq1,0,ig5,0,sal3,0
Like,like,s
a,a,s
Colossus,colossus,,topic_38,0,freq5,0,ig1,0,sal5,0
",",",",s
and,and,s
we,we,s
petty,petty,s,topic_3,0,freq4,0,ig5,0,sal4,0
men,men,n,topic_38,0,freq1,0,ig5,0,sal3,0
Walk,walk,s,topic_23,0,freq3,0,ig5,0,sal4,0
under,under,s
his,his,s
huge,huge,s,topic_4,0,freq4,0,ig5,0,sal5,0
legs,legs,s,topic_36,0,freq4,0,ig5,0,sal5,0
and,and,s
peep,peep,s,topic_3,0,freq4,0,ig4,0,sal3,0
about,about,n
To,to,s
find,find,s,topic_35,0,freq2,0,ig5,0,sal4,0
ourselves,ourselves,s
dishonourable,dishonourable,s,topic_36,0,freq5,0,ig5,0,sal5,0
graves,graves,,topic_17,0,freq4,0,ig5,0,sal5,0
.,.,n
Men,men,s,topic_35,0,freq1,0,ig5,0,sal1,0
at,at,s
some,some,s
time,time,s,topic_3,0,freq1,0,ig5,0,sal2,0
are,are,s
masters,masters,s,topic_17,0,freq3,0,ig5,0,sal4,0
of,of,s
their,their,s
fates,fates,,topic_2,0,freq5,0,ig5,0,sal4,0
:,:,n
The,the,s
fault,fault,,topic_31,0,freq2,0,ig5,0,sal3,0
",",",",s
dear,dear,s,topic_39,0,freq1,0,ig5,0,sal2,0
Brutus,brutus,
",",",",s
is,is,s
not,not,s
in,in,s
our,our,s
stars,stars,,topic_26,0,freq3,0,ig5,0,sal3,0
",",",",n
But,but,s
in,in,s
ourselves,ourselves,
",",",",s
that,that,s
we,we,s
are,are,s
underlings,underlings,,topic_49,0,freq5,0,ig3,0,sal5,0
.,.,n
Brutus,brutus,s
and,and,s
Caesar,caesar,
:,:,s
what,what,s
should,should,s
be,be,s
in,in,s
that,that,s
',',
Caesar,caesar,
',',
?,?,n
Why,why,s
should,should,s
that,that,s
name,name,s
be,be,s
sounded,sounded,s,topic_24,0,freq4,0,ig4,0,sal3,0
more,more,s
than,than,s
yours,yours,
?,?,n
Write,write,s,topic_7,0,freq2,0,ig1,0,sal2,0
them,them,s
together,together,
",",",",s
yours,yours,s
is,is,s
as,as,s
fair,fair,s,topic_43,0,freq1,0,ig5,0,sal1,0
a,a,s
name,name,
;,;,n
Sound,sound,s,topic_36,0,freq2,0,ig5,0,sal2,0
them,them,
",",",",s
it,it,s
doth,doth,s,topic_24,0,freq1,0,ig5,0,sal3,0
become,become,s
the,the,s
mouth,mouth,s,topic_41,0,freq2,0,ig5,0,sal2,0
as,as,s
well,well,
;,;,n
